2026年闵行区公办小学招生划片范围
序号	学校名称	学校地址	招生划片范围
33	闵行区颛桥中心小学	中沟路89号	颛兴路：华银苑（颛兴路45弄）、华星商场小区（颛兴路50弄）、晶品商场小区（颛兴路100弄）、工商银行小区（颛兴路180弄）、颛溪五村（颛兴路245弄）、颛溪七村（颛兴路358弄、中沟路20弄）、颛溪八村（颛兴路345弄）、红叶别墅（颛兴路388弄）、日月华庭（颛兴路639弄）、日月华城（颛兴路666弄）；颛盛路：莘闵花园（颛盛路35弄）、荣顺苑（颛盛路135弄）；颛卫路（135弄、155弄、175弄）、阳光雅苑（颛卫路190弄）等各小区；颛建路各小区；华丰苑（中沟路400弄）、卫春苑（中沟路51弄）、中沟路40弄、50弄等各小区；繁盛苑（繁安路59弄）、日月华庭三期（颛乐路199弄）、光华路（259号、263号、267号、287号）、颛桥新村、颛桥南街、颛桥北街、颛桥后东街、颛桥西街、汇通路、磊滨路、集体村、颛桥紫薇佳园（繁安路388弄）、紫薇花园（颛兴路88弄）、华发四季半岛（鑫都路2288弄）
34	闵行区北桥中心小学	金阳路355号	北桥居委、金塔新村（沪闵路2242弄）、金榜家园（沪闵路2282弄）、灯塔村、光明村、中心村（铁路以北）、安乐村（铁路以北）、北桥村、银春小区（灯辉路501弄、灯辉路555弄、灯辉路601弄）、万顺苑（放鹤路2323弄）、复地北桥城（都市路399弄）、骏苑（金阳路366弄、金阳路116弄）、阳光美庭（都市路388弄）、都市富苑（都市路778弄）、翔泰苑（鹤翔路180弄）、万顺水源墅（都市路777弄）、上良小区（沪闵路2673号-2683号）、北桥部队（沪闵路2550号）、北吴路1487号、放鹤路2424号-2430号、放鹤路2600号、城开云外（灯辉路377弄）、星侨馨苑（新春路300弄、新春路160弄）
35	上海市闵行区第三实验小学	老沪闵路2299弄56号	曹行村、曹中村、许泾村、民建村、爱国村、车沟村、双溪村，曙建村、虹景苑（景联路1083弄、景联路1085弄、虹梅南路2555弄）、华唐苑（虹梅南路2288弄）、曹建小区（曹建路220弄、曹建路201弄、曹建路227弄、曹建路229弄）、虹山半岛（虹梅南路2323弄）、月光流域（银都路1669弄）、好世麒麟苑（金都路1000弄）、银泰苑（双柏路1688弄）、银河新都（绿莲路99弄、绿莲路100弄、老沪闵路2259弄）、银莲花苑（莲花南路1535弄）、中春三水苑（曙建路51弄）、金丰佳园（金都路978弄）、中冶景城（曙建路78弄）、祥生瑞和苑（曙建路185弄）、中海寰宇（银都路2188号）、燕南园（景联路1111弄）、银都名墅（银都路759弄）、美琪花苑（虹梅南路3001号）、景香苑（务本路88弄）、银香苑（务本路330弄）、朗拾花语（贤荟路167弄、贤学路189弄、贤学路69弄、普旺路58弄）
36	上海市闵行区景东小学	景东路855号	塘湾村、和平村、英武村、幸福村、友爱村、星火村、新建村1—12组（不含原金红村）、共和村1—13（不含原吴泾村）、枫桦景苑（剑川路198弄、永德路228弄）、虹梅新苑（永德路360弄、永德路369弄）、虹梅景苑（永德路700弄、尚义路229弄、尚义路459弄、尚义路428弄）、紫晶南园（广南路666弄）、剑川路201弄、嘉怡水岸（紫龙路500弄）、紫光路801弄、塘中路2—3号、广南星园（广南路666弄）
37	华东师范大学附属紫竹小学	紫凤路198号	紫竹半岛、吴泾镇英武村、幸福村、友爱村、星火村居民(动迁)
38	上海师范大学附属闵行第三小学南校	立跃路3939号	陈行村、郁宋村、跃农村、塘口村、丁连村、近浦村、芦胜村、浦江村、丰收村、勤俭村、亭子村、新华村、陈行居委（陈南路418弄、立跃路3700弄、立跃路3800弄）、景江苑（A区：浦秀路639弄、B区：浦秀路598弄、C区：浦秀路499弄、D区：浦秀路518弄、E区：浦瑞路509弄）、景舒苑（一村：浦秀路359弄、二村：浦秀路360弄、三村：浦秀路183弄、四村：浦秀路220弄、五村：浦秀路48弄、浦秀路49弄、六村：浦瑞路369弄、七村：浦雪路351弄、八村：浦鸥路186弄、九村：浦雪路179弄、十村：浦瑞路55弄、浦瑞路56弄、浦雪路53弄）、滨浦新苑（一村：浦驰南路238弄、二村：江汉路99弄、三村：江汉路200弄、四村：浦驰南路39弄、五村：浦雪南路366弄、六村：浦雪南路206弄、七村：浦雪南路369弄、八村：浦瑞南路76弄、九村：江汉路751弄）、公安小区（鲁陈路3955弄）、保利锦上（北江洲路280弄）、浦秀苑（浦秀路765弄）、宝铭浦秀苑（浦秀路750弄）、浦秀馨苑（浦秀路1139弄）；【以下小区为暂时安置】浦恒馨苑（浦锦路2159弄、2161弄）、浦恒北苑（浦锦路2385弄）、江锦北苑（江松路501弄）、江锦南苑（江松路501弄）
39	上海市闵行区浦江第二小学谈中路校区	谈中路128号	杜行村、张行村、群益村、万里村、康桥村、胜利村、联胜村、革新村、镇北村、联星村、杜行老街、召楼老街、花苑一村（谈中路52弄、谈中路102弄)、花苑二村（谈中路59弄)、谈中路（158弄、184弄、179弄、205弄、223弄、230弄、239弄）、馨园小区（鹤坡路19弄）、鹤坡路（83弄、84弄、35弄）、叶家桥路（381弄、165弄、311弄）、瑞和雅苑（叶家桥东路260弄、叶家桥东路106弄、叶家桥东路36弄、叶家桥东路251弄）、闵浦三村（鹤坡南路168弄、鹤坡南路169弄）、闵浦四村（江文路688弄）、闵浦五村（江玮路450弄）
40	上海市闵行区浦江第二小学浦涛路校区	浦涛路72号	建东村、联民村、跃进村、建岗村、联合村、建新村、闵浦一村（江玮路100弄）、闵浦二村（鹤坡南路55弄、鹤坡南路56弄）、闵浦六村（江玮路298弄）、浦江宝邸北区（江文路330弄）、浦江宝邸（召楼路2266弄、江文路201弄、江文路125弄）、博雅苑（召楼路2056弄）、博雅苑东区（浦连路150弄）、浦航新城中城苑（浦连路99弄）、中城新苑（浦连路281弄）、中虹浦江苑北区（浦涛路100弄）、中虹浦江苑南区（浦涛路75弄）
41	上海市闵行区浦江第三小学	鲁浩路350号	鲁汇（居民）一村（闸航路2551弄10支弄、闸航路2589弄）、居民二村、居民三村（闸航路1066号甲乙）、居民四村（鲁汇北环路以北1-36号）、粮友公寓（闸航路1028号）、三宏公寓（闸航路2550弄15支弄）、居民六村（三鲁路531弄）、望佳一村（闸航路2800弄）、望佳二村（闸航路2825弄）、红梅苑（三鲁路467弄128支弄）、新汇绿苑（汇臻路939弄、980弄）、汇龙花苑（鲁南路85弄）、红梅雅苑（西城一路177弄）、汇都公寓（闸航路2685弄、三鲁路319弄）、叶茂别墅（闸航路2388弄）、汇南村、光继村、汇中村、汇东村、汇北村、汇红村、汇西村、永新村、永建村、永胜村、永丰村、正义村、鲁汇老街（大治河以南1-78号）、瑞和城一街区（汇延路199弄、258弄）、瑞和城二街区（汇延路59弄、鲁宁路318弄）、瑞和城三街区（汇臻路815弄、鲁宁路43弄、鲁宁路80弄）、瑞和城四街区（鲁康路15弄）、瑞和城五街区（鲁坤路51弄）、瑞和城六街区（鲁浩路160弄、汇秋路16弄）、瑞和城柒街区（汇舒路54弄）、瑞和城八街区（汇舒路119弄）、瑞和城九街区（鲁康路555弄）、先进村（一组、二组、七组、八组）
42	上海戏剧学院闵行附属学校	闵瑞路501号	汇颂南苑（浦连路789弄）、浦江丽都（浦连路439弄、江航路378弄）、金硕河畔（浦连路388弄、浦连路598弄、江协路51弄）、瑞和新苑（江航路60弄、浦涛路399弄、浦涛路400弄）、虹浦新城（浦涛路505弄、浦涛路510弄）、水语人家（浦涛路751弄、浦涛路768弄）
43	上海市闵行区吴泾实验小学	剑川路119号	吴泾新村(龙吴路5530弄)、双柏新村(剑川路100弄）、永南新村/永北新村(龙吴路5511弄、剑川路150弄、剑川路140弄）、原吴泾村、锦浦公寓(剑川路10弄）、氯碱小区(剑川路50弄）、通海路360弄、通海新村（剑川路121弄）、锦川公寓(剑川路139弄）、新华小区(龙吴路5599弄）、现代苑(广南路333弄）、万科花园小城(龙吴路5688弄）、原金红村（新建村金红）
44	上海市闵行区中心小学	新闵路472号	浦江大楼（浦江路170号、190号）、浦江花苑（浦江路58弄、新西街82弄）、新安路、横泾西路、南北大街、沪闵路（73弄、111弄、121弄、123弄、315弄）、新闵小区（江川东路863弄、新闵路522弄、556弄）、紫竹苑（江川东路839弄）、星河景苑（新闵路481弄）、新闵路、河东小区（闵东路、横泾东路、河东路）、高华小区（江川路241弄1-8号、19-30号、57-76号、84-98号、130号及以上）、沧源小区（东川路925弄、沧源路770弄）、金榜世家（沧源路770弄、沧源路660弄）、当代万国府（沧源路588弄）、源枫景苑（永平南路203弄）、东苑佳和园（永平南路198弄）、黄一村、黄二村、臻澜苑（江川东路501弄）、华润映江名邸（江川东路789弄）
45	上海市闵行区华坪小学	沪闵路158弄54号	高华小区（兰坪路131弄  沪闵路158弄、沪闵路170弄、172弄、174弄、176弄）、兰坪一村（兰坪路70弄）、华江小区（华坪路69弄）、建设路、紫罗兰花苑（兰坪路136弄）、华二小区（华坪路9弄）
46	上海市闵行区鹤北小学	鹤庆路358弄30号	鹤北一街坊（鹤庆路136弄、鹤庆路58弄）、鹤北二街坊（鹤庆路358弄、安宁路26弄、安宁路88弄）、金铭福邸（鹤庆路560弄）
47	上海市闵行区汽轮科技实验小学	宾川路238号	兰坪路（210号、220号、234号、252号）、兰坪路302弄、鹤明小区（兰坪路352弄）、汽轮新村（宾川路200弄）、红宾花苑（宾川路233弄）、汽轮三村（宾川路380弄）、江川路296弄、新华小区（鹤庆路411弄、鹤庆路585弄、鹤庆路641弄）、申隆公寓（瑞丽路61弄）、金铭福邸四期（瑞丽路386弄）、瑞丽名邸（瑞丽路528弄）、友好佳苑（江川路680弄）、瑞丽新村(宾川路311弄、宾川路395号、江川路456弄、瑞丽路35弄)、电一里委(江川路550弄、江川路558弄、瑞丽路22弄、宾川路405—413号（单号）)、电二里委(宾川路406号、416弄、430弄)、电四里委（碧江路195弄）、电机五村（碧江路210弄、碧江路280弄）、江川公寓(江川路660弄120支弄)、君临六六公寓（碧江路299弄）、富仕名邸（碧江路329弄、338弄）、碧江路400弄、紫藤新苑(东川路2759弄)、东川苑（东川路2815弄、2817弄）、鹤庆路810弄、马桥友好村（1组—7组、13组、19组）
48	上海市闵行区江川路小学北校区	安宁路495号	鹤北新苑（安宁路289弄）、鹤庆苑（安宁路330弄）、欧洲花园（安宁路379弄）、金平新村（金平路337弄、安宁路400弄）、千代名墅（安宁路458弄）、金榜人家（石屏路399弄）、假日景苑丽都城(金平路328弄)、凤凰景苑凤凰城（景谷中路58弄）
49	上海市闵行区江川路小学	江川路248弄114号	东风小区（江川路248弄）、东江小区（兰坪路301弄、兰坪路401弄）、兰坪二村（兰坪路190弄、江川路291弄、江川路297号、江川路303弄）、帝景园（华坪路100号）、高华小区（江川路241弄9—18号、31—56号、77—83号、99—129号）
50	上海市闵行区碧江路小学	碧江路495号	颛桥镇中心村：虹桥、王家、李家、剑川路队（徐家）；景华小区（华宁路191弄、华宁路189号、景谷路135弄、碧江路402弄）、富仕名邸部分（东川路2718弄）、红旗四街坊（景谷路176弄、碧江路502弄、景谷路192弄、凤庆路1061弄、景谷路206弄）、景谷苑（华宁路265弄）、红期五村（碧江路401弄）、红旗花苑（东川路2626弄）、凤庆小区（碧江路501弄、景谷路64弄）、马桥镇友好村：8、9、10、11、12、14、15、16、17、18、20队；中景水岸（瑞丽路768弄）、海赋尚品（瑞丽路918弄）
51	上海交通大学附属实验小学	德宏路2366号	北欧丽景/京浦花园/三明花园（沧源路755弄）、金榜五期 （沧源路655弄）、交大新村（沧源路880弄）、金榜六期（东川路811弄）、好第坊（东川路865弄）、博仕欣居（景谷东路99弄 ）
52	上海交通大学附属实验小学西校区	凤庆路300号	南洋瑞都、剑桥府邸、合生城邦（金平路555弄、金平路558弄、金平路777弄、金平路788弄）、畅馨园（凤庆路58弄）、剑桥丽苑（凤庆路150弄）、新闵村、安乐村(铁路以南)
53	上海市闵行区黄浦一中心世博小学	浦驰路177号	世博家园二街坊（浦申路633弄）、世博家园四街坊（北江燕路68弄）、世博家园五街坊（北江燕路228弄）、世博家园六街坊（北江燕路338弄）、世博家园七街坊（南江燕路69弄）、世博家园八街坊（南江燕路229弄）、世博家园九街坊（浦驰路345弄）、世博家园十街坊（浦申路200弄）、世博家园十一街坊（浦驰路188弄）、世博家园十二街坊（浦驰路235弄）、世博家园十三街坊（浦晓南路59弄）、世博家园十四街坊（联航路2015弄）、世博家园十五街坊（联航路2165弄）、智汇园（联航路1399弄）、满香苑（江龙路446弄）
54	上海市闵行区诸翟学校	纪翟路221号	原诸翟镇下辖5个行政村（陈家角村、肖王庙村、石皮弄村、朱家泾村、诸翟村）、诸新一村（平乐路165弄）、诸新三村（纪翟路450弄）、紫薇新村（紫苑路）、金丰小区（金丰路121弄、179弄）、美邻苑（保乐路666弄）、紫堤苑（北翟路5088弄）、九方家园（保乐路168弄）、紫薇二村（北翟路5259弄）、西郊庄园（金丰路588弄）、九韵城（繁兴路300弄）、瑞生花园（保乐路358弄）、华新中心村（纪翟路1135弄）、西郊河畔（繁兴路469弄）、紫堤坊（纪翟路99弄）、香港花园（纪翟南路188弄）、林茵湖畔（幸乐路500弄、金丰路55弄）、万科红郡（诸新路377弄、诸新路388弄）、兰乔圣菲（金辉路333弄）、北翟路5103弄、北翟路5115弄、景平苑（繁兴路1000弄）、景雅苑（开兴路199弄）、北翟路5120弄、玫瑰里（运乐路288弄）、网球俱乐部公寓（金丰路555弄）、马德里洋房（金丰路777弄）、馨泰佳苑（季乐路476弄）、馨乐佳苑（季乐路299弄）、新华花园（纪翟路355弄100支弄）、虹桥晶邸（繁兴路333号）、金臣别墅（金光路801号）、丽华雅苑（金光路699号）、馨昌佳苑（季乐路268弄）
55	华东师范大学附属闵行虹桥学校	红松路81弄18号	金汇花园一街坊/华源公寓/金汇福邸（虹井路618弄）、金汇花园三街坊/金汇名人苑/宝虹公寓/先锋公寓（红松路175弄）、金汇花园四街坊（金汇路518弄）、金汇华光城（金汇路588弄）、金汇鸿锦苑（虹井路482弄）、金坤花园（金汇路515弄），南洋绿都（程家桥路168弄58支弄）、金汇丽舍/原韵动时代（金汇路460弄）、金斯花园(金雨路88弄)、金俊苑（虹井路368弄）、程家桥路221、程家桥路211弄、金汇紫薇苑（红松路81弄153支弄）、旭辉识庐（红松路81弄169支弄）、虹桥衡园（虹井路728弄）、顺安公寓（程家桥路185弄）、光大花苑（程家桥路269弄）
56	上海市莘光学校	山花路555号	水清一村（雅致路228弄）、水清二村（水清路298弄）、水清三村（庙径路52弄）、水清嘉苑（水清路378弄25支弄）、大唐别墅（水清路500弄）、水清路539弄、水清路759弄、报春一村（报春路817弄）、报春二村（报春路863弄）、报春三村（报春路816弄）、报春四村（报春路862弄）、阳明国际（水清路588弄、山花路65弄、108弄）、绿茵苑（报春路558弄）、绿茵公寓（山花路268弄）、丽华公寓（报春路748弄）、雅致公寓（雅致路31弄）、金霄大厦（碧泉路36弄）、银霄大厦（B座沪闵路6269弄、A座沪闵路6259弄）、众众家园（莘建东路388弄、399弄12支弄）、新珠苑（莘建东路539弄）、开城新村（莘朱路81弄）、紫欣公寓（碧秀路98弄）、地铁明珠苑（莘建东路198弄、258弄）
57	上海市闵行区纪王学校	纪翟路1655号	华漕镇红卫村、纪东村、纪王村、纪西村、鹫山村、卫星村、赵家村、银杏新村（纪翟路1625弄）、纪丰苑（纪翟路1558弄）、祥宾新村（纪川路55弄）、纪高苑（纪高路728弄、纪川路198弄）、祥宾二村（纪高路448弄）、友谊新村（纪中路66弄、纪中路100弄）、纪高路295弄、纪高路405弄、纪育路446弄、纪育路516弄、纪中路南一村、纪中路南二村、纪中路北一村、纪中路北二村、纪王大街、纪王纪前路毛家弄、鹫山小区（纪鹤路559弄1-128号）、永丰苑（纪鹤路589弄1-90号）、泽雅苑（高嵩路98弄1-33号）、润雅苑（高嵩路35弄1-30号）、虹桥莲花景苑（高嵩路300弄）、虹桥玉兰馨苑（高嵩路380弄）、虹桥紫荆雅苑（园堂路355弄）
58	上海市马桥强恕学校	北松路2258号	马桥居委：中街小区（东街11-18号、富岩路230弄、西新路15弄、富岩路1-23号、中街149、151、153、155、157弄、中街190、221号、南中街51-55号、东新街1-25号、新村3、4幢、新街10、12号、东新街2弄、西街1-21号）、东街小区（老东街20-58号）、西街小区（西新路58弄）、S32小区（富岩路155弄、富岩路156弄、昆阳路2038弄）；敬南居委：富岩路328弄、富岩路335弄、裕丰小区、敬南苑、敬南路1-3号、富岩路268弄16支弄等；工农村、旗忠村（1-12街坊）、俞塘村、裕隆花园、元祥小区、元吉小区、旭丽花园（北松公路838弄）；茜昆居委：山水世纪花园、长岛别墅、中房森林别墅、绿城玫瑰园、御涛园、旗忠愉园；红庐香颂（昆阳路3299弄）、红庐雅颂（元江路5225弄）、联仲都悦汇（中秀路100弄、中富路100弄、中青路1518弄）、悦和雅苑（骏祥路169弄、骏祥路299弄、茜昆路888弄）、隐秀云邸（曙光路1500弄）、旗忠悦园（富业路220弄、富业路199弄）
59	上海师范大学康城实验学校	莘松路958弄瀑布湾道18号	上海康城（莘松路958弄）
60	上海市莘城学校	普洱路158号	江南苑（莘朱路222弄）、好世鹿鸣苑（闵城路199弄）、中祥哥德堡（珠城路99弄）、世纪阳光苑（珠城路99弄）、凯利大楼（春申路3758弄）、新梅莘苑（珠城路118弄）、都市星城（富都路111弄、天河路39弄)、奥塞花园（普洱路88弄）、东苑利华苑（春申路3799弄65支弄）、绿水家园（春申路3799弄100支弄）、春申丽园（春申路3799弄18支弄、春申路3799弄33支弄）、春申五村/春申新村（都市路4499弄）、金铭新水岸（腾冲路50弄）、春申四季苑(都市路4633弄)、莘梓苑（都市路5058弄）、名都新城（富都路55弄、宝城路155弄、名都路20弄、友情路50弄）、莲蒲新苑（名都路58弄）、塞纳左岸/东苑利景（宝城路500弄）、莘城公寓（宝城路158弄）、都市苑（腾冲路180弄）、柏林春天（春申路3355弄、都市路4580弄）、华丽家园（春申路3455弄）、悦麓苑（莘朱路288弄）
61	上海市闵行区明星学校	黎安路339号	水清苑（水清路1000弄）、香树丽舍（水清路999弄）、星丰苑（黎明路155弄）、黎安一村(黎安路551弄）、黎安二村（水清路1111弄、黎安路486弄）、黎安三村（黎安路380弄）、黎安四村（水清路1100弄）、盛园（秀文路555弄）、圣淘沙（顾戴路2199弄）、银星小区（水清路1550弄）、当代艺墅（顾戴路1801弄）、现代缘墅(水清路1028弄) 、莘庄镇明星村、莘庄镇南马、大虹桥国际公馆（秀涟路111弄）、海玥锦上名邸（黎康路377弄）、莘汇名苑（秀涟路77弄）
62	上海市闵行区君莲学校	沪光路120号	龙泽苑（都会路3199弄）、幸福苑（都会路2799弄）、广润苑（春都路88弄）、君莲新城中城苑（春都路75弄）、爱庐世纪新苑（沪光路39弄）、光辉村农民别墅（沪光路180弄）、宏润丽苑（春都路358弄）、星河湾（都会路3888弄、都会路3899弄、都会路3988弄）、君莲闵都雅苑（沪光路425弄）、众秀新家园（都会路2626弄）
63	上海交通大学附属闵行马桥实验学校	银春路1750号 	夏朵小区（银春路1799弄）、飞碟苑小区（银春路1800弄）、华银坊（华宁路1399弄）、银春苑（银康路76弄）、银康苑（银林路100弄）、马桥景城元景苑（富卓路125弄)
64	上海市民办万源城协和双语学校(公办班）	平吉路509号 	万源城：万源城朗郡（万源路986弄）、万源城一期（莲花路755弄）、万源城逸郡（万源城788弄）、万源城尚郡（万源路580弄）、万源城御境（古龙路666弄）、万源城御溪（平吉路688弄）
65	上海市闵行区浦汇小学	盐铁塘路281号	兴顺苑（鲁建路2658号）、兴利苑（永高路255弄257号）、星华园（盐铁塘路565弄 ）、颂和苑（永颂路455弄）、浦欣苑（永高路75弄）、和康苑（永颂路299弄）、永锦苑（永颂路198弄 ）、盛华园（鲁康路1198弄）、丹桂苑（永恩路80弄）、玉兰苑（闸航路4398号）、丽华园（盐铁塘路272弄）、香樟苑（盐铁塘路435弄）、佳兴苑（永跃路782弄）、浦芳苑（盐铁塘路176号）、宝铭莲浦苑（永杰路577弄）、浦晨雅苑（永杰路439弄）、锦宏苑（永跃路550弄）、馨宁佳苑（永跃路555弄）、欣康苑（永跃路781弄）、旭辉江山都会（永跃路208弄）、建发浦上雅苑（新港河路385弄）、千禧双湾（永跃路215弄）、浦江澜庭（闸航路4208弄）、大华星曜华庭（永跃路28弄）
66	上海市闵行区马桥文来外国语小学	富卓路250号	乐康苑（银春路2200弄）、品雅苑（富卓路789弄）、四季悦园（富国路355弄）
67	上海市闵行区马桥文来外国语小学富杰校区	富杰路296号	保利雅苑小区（银秋路1351弄）、景城馨苑小区（银林路1002弄）、保利佳苑小区（富国路39弄）、景城和苑（银康路750弄）、禹洲银杏里（富国路199弄）、卓越雅苑（富岩路60弄）、马桥景城元景富文苑(银康路735弄)
68	上海市闵行区马桥文来外国语小学昆阳校区	富杰路296号	昆阳新村（昆阳路420弄、540弄、520弄、550弄、560弄、570弄、580弄、600弄、620弄）、天星路（240弄、241弄、242弄、251弄）、昆阳路362号、东川路3353弄、金星村、彭渡村、吴会村、同心村、民主村、祥云新城（江川路1777弄）
69	上海市闵行区福山实验学校	浦航路199号	先进村（3、4、5、6组）、北徐村、新风村、浦润苑（浦航路718弄）、浦江馨都（先新路1058弄）、欣佳宝邸东区（闵驰二路59弄）、欣佳宝邸南区（闵驰二路257弄）、欣佳宝邸西区（闵驰二路256弄）、欣佳宝邸北区（闵驰二路58弄）、瑞和华苑南区（闵驰一路299弄）、瑞和华苑北区（闵驰一路302弄）、瑞和华苑西区（江航南路801弄）、汇秀景苑一街坊（浦航路178弄）、汇秀景苑二街坊（闵驰一路208弄）、汇秀景苑三街坊（闵驰一路197弄）、聚缘北庭（浦航路36弄）、聚缘中庭（闵驰一路50弄）、聚缘南庭（闵驰一路29弄）、馨和雅苑（召楼路1706弄）
70	上海市闵行区田园第二外语实验小学	伟都路45号	银桥花园（沪闵路3131弄）、金榜新苑（都市路1800弄、1900弄）、金榜星墅（沪闵路3131弄）、都市雅筑（沪闵路3131弄）、金铭文博水景（都市路2501弄、向阳路2088弄）、湖山在望（都市路2566弄）、圣得恒业花园（都市路2099弄）、天籁园（都市路2088弄）、元江雅苑（都会路1800弄）
71	上海师范大学附属闵行第三小学	南江榉路591号	浦江华侨城（江桦路200弄、江桦路400弄、江桦路600弄、江桦路199弄、江桦路399弄、江柳路200弄、江柳路400弄、浦驰路1809弄、浦驰路1659弄、浦驰路1335弄、浦驰路1336弄、浦驰路1628弄、浦锦路1658弄、 江栀路500弄、江栀路350弄、浦申路1288弄、浦晓路112弄）、万科翡翠别墅（江桃路555弄、江桃路556弄、浦秀北路55弄、浦秀北路155弄）、红醍半岛（江柳路888弄、江柳路889弄）、保利茉莉公馆（浦秀路1535弄、浦秀路1536弄、北江桐路536弄）、浦江坤庭（浦秀路1385弄、浦秀路1386弄、浦雪路1180弄、浦锦路1181弄）、浦江颐城（浦泉路251弄、浦泉路399弄、浦晓路298弄）、桂鸿院（江柳路600号）、桃花源墅（江桃路399弄、江桃路299弄、江桃路199弄、江桃路188弄）、缦云缦玥（江桦路669弄、浦秀路1918弄）；【以下小区为暂时安置】一品漫城（浦星公路568弄、芦恒路378弄、浦申路2639弄）
72	华东师范大学附属闵行永德学校（小学部）	永德路1160号	塘泾南苑（曹家塘路220弄）、塘泾北苑（曹家塘路390弄）、永德宝邸（曹家塘路229弄、曹家塘路399弄）；【以下小区为暂时安置】万科青藤（紫龙路200弄）、璀璨雅苑（吴泾镇紫龙路211弄）、兰香湖雅苑（兰香湖北路288弄）、璀璨名苑（吴泾镇通海路268弄）、元江雅苑（兰莲路167弄、168弄）、元江名邸（兰莲路88弄）
73	复旦大学附属闵行实验学校	梅陇西路1566号	上海阳城（罗锦路888弄）、未名园（莲花南路588弄）、两湾新苑（莘朱路718弄）、金辉海上铭著（莘朱路698弄）、梅香苑（莘朱路820弄、伟业路780弄）
74	上海世外教育附属浦江外国语学校	景容路66号	为民村、徐凌村、李巷村、恒星村、叶凌村、立民村、东风村、苏民村、勤劳村、建中村、三友村、知新村、友建村、宝华源墅（三鲁公路5588弄）
75	上海市闵行区七宝文来学校	秀涟北路588号	阳光神州苑（华林路228弄、华林路229弄）、莲浦府邸一期（七莘路1818弄)、碧林湾南苑（华友路150弄、华友路260弄）、蓼花汀（七莘路1728弄）、富丽公寓西区（七莘路1999弄）、富丽公寓东区（七莘路1666号）、摩登堂（中谊路909弄）、丽友新村（七莘路2055弄）、碧林湾新苑（中谊路969弄、华友路550弄）、中华村/宝华花园（中春路6689弄）、东碧林湾（七莘路1890弄）
76	上海交通大学附属闵行实验学校	富学路99号	详见学校招生简章
77	华东师范大学闵行前湾小学（筹办）	芳乐路1299号	南山前湾拾缦（徐亭路55弄）、花语前湾（雅乐路788弄、纪翟路1118弄）、虹桥博雅苑（朱建路666弄）、虹桥舒雅苑（方亭路566弄）、虹桥茗雅苑（纪潭路75弄）、禧瑞怡庭（徐亭路35弄）、禧瑞铭庭（徐亭路36弄）、前湾雅苑（金辉路1061弄）；【以下小区为暂时安置】大华紫樾府（园堂路231弄）、碧桂园柏悦前湾（季乐路33弄）
78	上海市闵行区文来九星学校（筹办）	农南路66号（临）	古美华庭（星中路66弄、118弄）、古美华邸（乐中路66弄、77弄）、古美名邸（古龙路1555弄）
