2026年闵行区公办小学招生划片范围
序号	学校名称	学校地址	招生划片范围
11	上海市七宝实验小学	漕宝路1467弄4区64号	静安新城（漕宝路1467弄1-12区，包括静安公寓、静安花苑、九歌花园、九歌茗园、九歌中庭）、九歌上郡(宜山路2328弄)、大上海国际花园(漕宝路1555弄)、红明新村(漕宝路1565弄)、宏明雅舍(漕宝路1755弄)、海上新村（漕宝路1800弄）、阳光乾城苑（星中路1111弄）、天安豪园（虹莘路3333弄）、天安豪园二期（C区）（紫琅路188弄）
12	上海师范大学附属闵行日新实验学校	东兰路1200号	金汇豪庭（龙茗路2121弄）、东兰雅苑（龙茗路1699弄)、世茗雅苑（龙茗路1597弄）、东兰新村/玉兰苑/木兰苑/蕙兰苑（漕宝路1508弄）、和润家园（龙茗路1897弄）、欧风花都（东兰路1111弄）、九星苑(东兰路1349弄)、建发璟和雅苑（万源路1335弄、万源路1385弄）
13	上海市闵行区平南小学平吉校区	平吉路1288号	平吉一村（虹莘路2388弄、2448弄）、平吉二村（虹莘路2288弄）、东苑半岛（顾戴路1266弄、虹莘路2058弄）、新时代花园（顾戴路1100弄）、富嘉花园（古龙路1065弄）、蓝色港湾（龙茗路1458弄）、九星村
14	上海市闵行区平南小学	东兰路671号	华一村、平南一/二/三/四村、祜欣公寓(东兰路751弄)、和嘉公寓（东兰路591弄）、701研究所家属楼(东兰路37弄)、华梅花苑（虹梅路999弄）、梅莲苑(虹梅路1109弄、虹梅路1111弄)、华一新城（古美路1455弄）、中友嘉园(古美路1458弄）、同济华城(漕宝路1158弄)、怡景园(莲花路1058弄)、东苑古龙城(古龙路66弄)、蔚蓝城市（平吉路88弄）、新时代景庭（古龙路287弄）、古龙尚居(古龙路300弄)
15	闵行区平阳小学	古美西路628弄177号	平阳一村（虹莘路1876弄）、平阳二村（顾戴路1075弄）、平阳三村（虹莘路1700弄）、平阳四村（古美西路628弄）、平阳绿家园（古美西路631弄）、鸿发家园（古美西路899弄）、东方御花园（古美西路753弄、龙茗路513弄）、春江锦庐（古美西路752弄）、春意苑（虹莘路1518弄28支弄）、江南星城（顾戴路1199弄、顾戴路1325弄）、古美西路316弄、古美西路420弄、半岛豪门（虹莘路1935弄、虹莘路1955弄）、龙祥公寓（平阳路1515弄）、仲义苑（虹莘路1638弄）、平阳苑（平阳路1465弄）、平阳三街坊（龙茗路701弄、平阳路1375弄）、晶杰苑（古美西路399弄）、古美一村（莲花路528弄）、古美三村（平阳路360弄）、古美四村/古美公寓（平阳路300弄）、古美五村（顾戴路35弄）、古美六村（古美路440弄）、古美七村（平阳路50弄）、古美八村（莲花路310弄）、古美九村/阳光星期八（古美路377弄、莲花路288弄）、古美十村（平阳路111弄）、75751部队家属院（顾戴路115弄）、成亿家园（顾戴路251弄）,阳光美景城（平阳路59弄）、望族新城（古美路675弄）、康健丽都（古美路718弄）、古龙一村/古龙苑（顾戴路388弄）、宝诚大厦（虹梅路269号）、金梅公寓（虹梅路263号）、锦隆别墅（古美路58号、沪闵路7948弄）、上海花园（沪闵路7886弄、7888弄）、南方新村（古美西路86弄）、莲花公寓（莲花路425弄、325弄）、望族新苑（万源路400弄）、风荷云墅（顾戴路645弄）、金领华庭（古美路350弄）
16	华东理工大学附属闵行梅陇实验学校	梅陇镇罗秀路1791号	梅陇一/二村 、紫藤一/二村 、益文苑（益文路100弄）、益文路79弄 、锦鸿公寓（益文路101弄） 、花园别墅、梅陇镇镇南单/双弄 、朱梅小区（上中西路925弄）、上陇新村（上中西路810弄、上中西路738弄 、虹梅南路601弄）、罗秀苑（上中西路1011弄）、新罗秀苑（罗秀路1555弄） 、罗秀新苑(罗秀路1651弄）、望族苑（上中西路1285弄）、梦景苑（罗秀路1701弄）、西班牙名苑（罗秀路1980弄）、嘉和花苑（罗秀路1955弄、罗秀路1999弄）、世纪苑（莲花南路155弄）、中梅苑（上中西路735弄、上中西路767弄、上中西路855弄、罗秀路1339弄、罗秀路1459弄）、陇西村 、陇南村 、陇兴村（闵行）、张慕村（南张家宅除外）、南方城（沪闵路7580弄111支弄）
17	闵行区罗阳小学	罗阳路800弄225号	罗阳一村（罗阳路258弄）、罗阳二村（罗锦路258弄）、罗阳三村（莲花南路431弄）、罗阳四村（莲花南路565弄）、罗阳五村（罗阳路568弄）、罗阳七村（罗阳路750弄）、盛源花苑（罗锦路556弄）、三洲花苑（罗阳路800弄）、莲花新苑（罗阳路339弄）、莲花苑（罗阳路261弄）、绿梅别墅（罗阳路255弄）、绿梅公寓（罗阳路111弄）、罗锦新苑（景福路189弄）、罗锦苑（罗锦路111弄）、莲花河畔景苑（罗阳路599弄）
18	上海中医药大学附属闵行蔷薇小学	春申路1581弄5号	蔷薇一/二村（老沪闵路1351弄）、蔷薇三村（虹梅南路1770弄）、蔷薇五村（春申路1581弄）、蔷薇四/六村（虹梅南路1728弄）、蔷薇七村（春申路1580弄）、蔷薇八村（虹梅南路1660弄）、源梦苑（春申路1888弄）、普乐二村（普乐路425弄）、都市宜家（虹梅南路1661弄)、行南村、江南欣苑（普乐路333弄、春申路1766弄）、虹梅菁典（春申路1717弄）、永联村、五一村、银兆公寓（银都路666弄）、中冶锦苑(陇都路51弄)
19	上海中医药大学附属闵行蔷薇小学晶城校区	业祥路158号	锦乐新苑（普杰路100弄1-24号）、锦乐新苑（普杰路69弄1-22号）、普乐三村（虹梅南路1555弄）、森安苑（普乐路665弄）、上海晶城（朱梅路113号）、鸿福新村（同乐路151弄）、朱一小区（虹梅南路1208弄）、朱行二村（莘朱路1935弄）、朱行三村、朱行四村（莘朱路1924弄）、朱行新四村（莘朱路1760弄）、虹梅佳苑（莘朱路1688弄）、朱行新村（莘朱路1997弄）、朱莘苑（莘朱路2111弄）、朱行镇老街、朱行城中村、晶珑坊（又名城开珑庭  龙州南路58弄1-14号）、景华新苑（华展路168弄）、辰香苑（龙州南路286弄）、沁兰园（华展路268弄）
20	闵行区实验小学	莘沥路203号	莘松五村（莘沥路499弄、含莘沥路42弄）、莘松三村（莘沥路363弄）、莘松八村（莘沥路366弄）、锦澳家园（莘沥路332弄）、莘沥路300弄、莘松九村（莘东路373弄）、锦都花苑（莘东路399弄）、银厦花园（莘沥路128弄）、莘沥路188弄、裕兴花园（七莘路181弄）、明物大厦（莘谭路76弄）、莘怡公寓（莘东路498弄）、莘沥路18弄、莘沥路20弄
